
-46.517,-28.711,574.751,1;
2.974,-31.357,579.895,1;
52.795,-33.925,584.068,1;
-43.06,3.359,539.148,1;
6.612,0.85,541.191,1;
56.446,-1.69,546.292,1;
-39.402,35.416,501.048,1;
10.186,32.869,503.423,1;
59.927,30.413,507.76,1;


586.2319946289062,343.7724304199219,-394.6689758300781,1;
587.0211181640625,293.3569641113281,-395.2485656738281,1;
590.2119750976562,243.5002899169922,-396.91485595703125,1;
536.2386474609375,341.8204040527344,-393.1436767578125,1;
538.1752319335938,291.8780822753906,-395.16937255859375,1;
540.37255859375,241.79580688476562,-395.80767822265625,1;
486.42718505859375,339.9552307128906,-393.37744140625,1;
487.9920654296875,289.4974670410156,-394.8293762207031,1;
489.9354248046875,239.3999481201172,-396.018310546875,1;
